"Route","Year","Publication Type","york","Open Access","Number of Publications"
"other","2017","note","FALSE","Gold",4
"TA","2017","note","FALSE","Gold",0
"YOAF","2017","note","FALSE","Gold",0
"other","2018","note","FALSE","Gold",4
"TA","2018","note","FALSE","Gold",0
"YOAF","2018","note","FALSE","Gold",0
"other","2019","note","FALSE","Gold",7
"TA","2019","note","FALSE","Gold",0
"YOAF","2019","note","FALSE","Gold",0
"other","2020","note","FALSE","Gold",1
"TA","2020","note","FALSE","Gold",0
"YOAF","2020","note","FALSE","Gold",0
"other","2021","note","FALSE","Gold",5
"TA","2021","note","FALSE","Gold",0
"YOAF","2021","note","FALSE","Gold",0
"other","2022","note","FALSE","Gold",9
"TA","2022","note","FALSE","Gold",0
"YOAF","2022","note","FALSE","Gold",0
"other","2017","review","FALSE","Gold",19
"TA","2017","review","FALSE","Gold",0
"YOAF","2017","review","FALSE","Gold",0
"other","2018","review","FALSE","Gold",29
"TA","2018","review","FALSE","Gold",0
"YOAF","2018","review","FALSE","Gold",0
"other","2019","review","FALSE","Gold",33
"TA","2019","review","FALSE","Gold",0
"YOAF","2019","review","FALSE","Gold",0
"other","2020","review","FALSE","Gold",37
"TA","2020","review","FALSE","Gold",0
"YOAF","2020","review","FALSE","Gold",0
"other","2021","review","FALSE","Gold",46
"TA","2021","review","FALSE","Gold",0
"YOAF","2021","review","FALSE","Gold",3
"other","2022","review","FALSE","Gold",42
"TA","2022","review","FALSE","Gold",0
"YOAF","2022","review","FALSE","Gold",1
"other","2017","short survey","FALSE","Gold",0
"TA","2017","short survey","FALSE","Gold",0
"YOAF","2017","short survey","FALSE","Gold",0
"other","2018","short survey","FALSE","Gold",0
"TA","2018","short survey","FALSE","Gold",0
"YOAF","2018","short survey","FALSE","Gold",0
"other","2019","short survey","FALSE","Gold",0
"TA","2019","short survey","FALSE","Gold",0
"YOAF","2019","short survey","FALSE","Gold",0
"other","2020","short survey","FALSE","Gold",0
"TA","2020","short survey","FALSE","Gold",0
"YOAF","2020","short survey","FALSE","Gold",0
"other","2021","short survey","FALSE","Gold",0
"TA","2021","short survey","FALSE","Gold",0
"YOAF","2021","short survey","FALSE","Gold",0
"other","2022","short survey","FALSE","Gold",0
"TA","2022","short survey","FALSE","Gold",0
"YOAF","2022","short survey","FALSE","Gold",0
"other","2017","article","TRUE","Gold",96
"TA","2017","article","TRUE","Gold",0
"YOAF","2017","article","TRUE","Gold",62
"other","2018","article","TRUE","Gold",101
"TA","2018","article","TRUE","Gold",0
"YOAF","2018","article","TRUE","Gold",60
"other","2019","article","TRUE","Gold",151
"TA","2019","article","TRUE","Gold",0
"YOAF","2019","article","TRUE","Gold",57
"other","2020","article","TRUE","Gold",191
